타임스탬프,희망하는 진로가 무엇인가요?,희망하는 학과가 무엇인가요? (ex. 기계공학과),희망하는 진로를 선택한 이유,카톡 아이디
2024. 6. 7 오후 7:57:36,예체능,웹툰만화과,적성이 맞는 거 같아서,2023KMJ
2024. 6. 7 오후 8:01:32,인문계열 / 사회계열,경찰행정학과,적성이 맞는 거 같아서,kyuri20111005
2024. 6. 7 오후 8:22:25,인문계열 / 사회계열,무역학과,멋잇는 거 같아서,noogunha
2024. 6. 7 오후 8:34:59,인문계열 / 사회계열,역사학과,적성이 맞는 거 같아서,minolam0623
2024. 6. 8 오후 12:16:09,예체능,작곡과,적성이 맞는 거 같아서,qa3_n.7
2024. 6. 8 오후 4:44:57,공학/ 자연/ 메디컬,환경공학과,그냥,원재야ㅜ뭐하냐 나한테 카톡 이모티콘 주라 mwmw1230
2024. 6. 8 오후 6:06:04,공학/ 자연/ 메디컬,춤으로 배우는 법학과,적성이 맞는 거 같아서,정혜정 바보
2024. 6. 8 오후 6:07:46,공학/ 자연/ 메디컬,기계공학과,돈을 많이 벌고 싶어서,Guyun2010hcmc
2024. 6. 8 오후 6:09:43,인문계열 / 사회계열,사회학과,돈을 많이 벌고 싶어서,Hzhzhzh
2024. 6. 8 오후 6:11:18,인문계열 / 사회계열,사회복지학과,그냥,doona070816
2024. 6. 8 오후 6:11:26,교육계열,공대,돈을 많이 벌고 싶어서,Hajgk
2024. 6. 8 오후 6:12:14,예체능,축구선수,돈을 많이 벌고 싶어서,Djiwa
2024. 6. 8 오후 6:12:54,인문계열 / 사회계열,역사학자,멋잇는 거 같아서,
2024. 6. 8 오후 6:14:20,공학/ 자연/ 메디컬,간호학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:15:34,예체능,체조선수,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:15:50,공학/ 자연/ 메디컬,의예과,돈을 많이 벌고 싶어서,금현준
2024. 6. 8 오후 6:16:06,공학/ 자연/ 메디컬,간호학과,그냥,김태웅
2024. 6. 8 오후 6:16:20,교육계열,수학과,부모님의 추천으로,
2024. 6. 8 오후 6:16:37,교육계열,영문학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:17:31,공학/ 자연/ 메디컬,기계공학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:17:47,인문계열 / 사회계열,지리학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:18:01,예체능,연가과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:18:34,인문계열 / 사회계열,국어학과,부모님의 추천으로,
2024. 6. 8 오후 6:18:58,공학/ 자연/ 메디컬,컴퓨터공학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:19:16,공학/ 자연/ 메디컬,인공지능학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:19:27,예체능,미대,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:19:44,공학/ 자연/ 메디컬,생명공학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:20:06,공학/ 자연/ 메디컬,약학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:20:48,공학/ 자연/ 메디컬,로봇공학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:21:05,공학/ 자연/ 메디컬,물리치료학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:21:33,예체능,축구마켓팅과,그냥,
2024. 6. 8 오후 6:21:43,인문계열 / 사회계열,미디어커뮤니케이션학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:22:12,공학/ 자연/ 메디컬,생명공학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:22:27,공학/ 자연/ 메디컬,화학공학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:22:53,공학/ 자연/ 메디컬,수학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:06,인문계열 / 사회계열,경영학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:23:24,교육계열,초등교육학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:26,인문계열 / 사회계열,영어영문학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:50,공학/ 자연/ 메디컬,수의학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:24:57,공학/ 자연/ 메디컬,화학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:25:23,공학/ 자연/ 메디컬,환경공학과,적성이 맞는 거 같아서,